ANHO,MES,UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,SECTOR,CATEGORIA,CO_IPRESS,RAZON_SOC,CA_CONSULTORIOS,CA_CONSULTORIOS_FN,CA_CAMAS,CA_MEDICOS_TOTAL,CA_MEDICOS_SERUM,CA_MEDICOS_RESIDENTES,CA_ENFERMERAS,CA_ODONTOLOGOS,CA_PSICOLOGOS,CA_NUTRICIONISTAS,CA_TECNOLOGOS_MEDICOS,CA_OBSTETRICES,CA_FARMACEUTICOS,CA_AUXILIARES,CA_OTROS_PROF,CA_AMBULANCIAS
2019,4,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,PRIVADO,0,8903,JULIO ALEJANDRO SILVA SANTISTEBAN AYALA,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2019,4,130102,LA LIBERTAD,TRUJILLO,EL PORVENIR,ESSALUD,I-4,9041,CENTRO DE SALUD CON INTERNAMIENTO EL PORVENIR,18,27,10,17,0,0,17,2,1,2,4,2,2,28,4,1
2019,3,250101,UCAYALI,CORONEL PORTILLO,CALLERIA,GOBIERNO REGIONAL,II-2,5576,HOSPITAL REGIONAL DE PUCALLPA,35,43,179,80,0,8,156,4,5,2,2,42,5,348,8,2
2019,4,100105,HUANUCO,HUANUCO,MARGOS,GOBIERNO REGIONAL,I-3,797,MARGOS,6,7,0,3,1,0,5,1,0,0,0,3,0,7,2,2
2019,3,100105,HUANUCO,HUANUCO,MARGOS,GOBIERNO REGIONAL,I-1,800,PACAYHUA,2,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0
2019,4,40206,AREQUIPA,CAMANA,OCOÑA,GOBIERNO REGIONAL,I-3,1348,CENTRO DE SALUD OCOÑA,7,14,0,3,0,0,3,0,1,0,0,2,0,11,2,1
2019,1,60401,CAJAMARCA,CHOTA,CHOTA,SANIDAD DE LA POLICIA NACIONAL DEL PERU,I-2,10929,CHOTA,1,2,0,2,2,0,3,0,0,0,0,0,0,2,0,0
2019,1,150131,LIMA,LIMA,SAN ISIDRO,SANIDAD DE LA POLICIA NACIONAL DEL PERU,I-3,12740,POLICLINICO PNP MININTER,5,6,0,2,0,0,4,2,1,0,1,2,0,15,0,1
2019,1,40103,AREQUIPA,AREQUIPA,CAYMA,PRIVADO,II-1,15730,CLINICA SAN JUAN DE DIOS,34,61,109,321,0,7,94,5,7,3,30,3,4,160,12,2
2019,1,150133,LIMA,LIMA,SAN JUAN DE MIRAFLORES,ESSALUD,I-3,13012,CENTRO DE ATENCIÓN PRIMARIA III SAN JUAN DE MIRAFLORES,0,53,0,27,0,0,18,6,2,1,1,7,1,20,2,0
2019,1,150121,LIMA,LIMA,PUEBLO LIBRE,PRIVADO,II-1,10831,centro Especializado en Odontoestomatología,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002,NE_0002
2019,1,220101,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,SANIDAD DE LA POLICIA NACIONAL DEL PERU,I-3,18077,POLICLINICO PNP MOYOBAMBA,4,4,1,2,2,0,5,1,2,1,0,1,2,12,1,1
2019,1,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,SANIDAD DE LA POLICIA NACIONAL DEL PERU,0,11833,HOSPITAL REGIONAL POLICIAL CHICLAYO,19,26,39,33,1,0,22,4,5,1,3,5,9,114,13,1
2019,1,240101,TUMBES,TUMBES,TUMBES,SANIDAD DE LA POLICIA NACIONAL DEL PERU,I-3,12088,UNIDAD EJECUTORA 020 SANIDAD PNP TUMBES,3,3,3,2,2,0,2,2,1,0,0,0,1,33,1,1
2019,1,230301,TACNA,JORGE BASADRE,LOCUMBA,ESSALUD,I-2,18550,CENTRO DE ATENCION PRIMARIA  I  LOCUMBA,4,4,0,1,0,0,1,1,0,0,0,1,0,0,0,0
2019,1,81207,CUSCO,QUISPICANCHI,HUARO,SANIDAD DE LA POLICIA NACIONAL DEL PERU,I-2,11747,SANIDAD PNP PUCUTO - CUSCO,2,3,0,2,2,0,2,0,1,0,0,0,0,4,0,0
2019,1,150122,LIMA,LIMA,MIRAFLORES,PRIVADO,II-E,14361,INSTITUTO DEL CEREBRO Y LA COLUMNA VERTEBRAL,3,6,8,21,0,0,13,0,0,0,3,0,0,6,0,0
2019,1,30401,APURIMAC,AYMARAES,CHALHUANCA,ESSALUD,I-3,11218,CENTRO DE ATENCION II CHALHUANCA,5,5,2,1,1,0,2,1,0,0,1,1,0,1,2,1
2019,1,150510,LIMA,CAÑETE,NUEVO IMPERIAL,SANIDAD DE LA POLICIA NACIONAL DEL PERU,I-2,17849,POSTA MEDICA PNP CAÑETE,1,1,0,5,5,0,2,1,1,0,0,1,2,18,0,1
2019,4,150134,LIMA,LIMA,SAN LUIS,ESSALUD,I-3,8289,ESSALUD,23,36,0,23,0,0,14,4,2,1,3,3,2,38,1,0
2019,4,150204,LIMA,BARRANCA,SUPE,GOBIERNO REGIONAL,II-1,7636,HOSPITAL DE SUPE LAURA ESTHER RODRIGUEZ DULANTO,11,13,21,11,0,0,25,3,2,3,2,8,1,36,30,2
2019,4,40104,AREQUIPA,AREQUIPA,CERRO COLORADO,SANIDAD DE LA FUERZA AEREA DEL PERU,II-E,11448,HOSPITAL REGIONAL DEL SUR,13,13,16,10,0,0,20,4,0,1,0,4,3,30,3,1
2019,4,50112,AYACUCHO,HUAMANGA,SOCOS,GOBIERNO REGIONAL,I-1,6736,SAN RAFAEL,0,4,0,0,0,0,2,0,0,0,0,1,0,0,0,0
2019,4,50111,AYACUCHO,HUAMANGA,SANTIAGO DE PISCHA,GOBIERNO REGIONAL,I-1,3618,SAN PEDRO DE CACHI,5,5,0,0,0,0,1,0,0,0,0,1,0,2,0,0
2019,4,50112,AYACUCHO,HUAMANGA,SOCOS,GOBIERNO REGIONAL,I-1,3620,SANTA ROSA DE COCHABAMBA,2,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0
2019,4,50112,AYACUCHO,HUAMANGA,SOCOS,GOBIERNO REGIONAL,I-1,6838,LUYANTA,4,3,1,0,0,0,1,0,0,0,0,1,0,1,0,0
2019,4,50105,AYACUCHO,HUAMANGA,CHIARA,GOBIERNO REGIONAL,I-1,3563,ALLPACHACA,2,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0
2019,4,50105,AYACUCHO,HUAMANGA,CHIARA,GOBIERNO REGIONAL,I-2,3567,MANALLASACC,4,4,0,0,1,0,2,1,0,0,0,1,0,1,0,0
2019,4,50105,AYACUCHO,HUAMANGA,CHIARA,GOBIERNO REGIONAL,I-1,3568,SACHABAMBA,3,3,0,0,0,0,2,0,0,0,0,1,0,1,0,0
2019,4,50105,AYACUCHO,HUAMANGA,CHIARA,GOBIERNO REGIONAL,I-2,3565,CHIARA,4,4,0,0,1,0,3,0,0,0,0,2,0,0,0,1
2019,4,50105,AYACUCHO,HUAMANGA,CHIARA,GOBIERNO REGIONAL,I-1,3566,LLACHOCCMAYO,3,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2019,4,150101,LIMA,LIMA,LIMA,PRIVADO,II-2,15610,Clínica Internacional - Sede Lima,63,63,86,366,0,2,196,14,6,4,26,12,10,57,0,0
2019,3,101108,HUANUCO,YAROWILCA,CHORAS,GOBIERNO REGIONAL,I-1,17073,SAN JOSE DE TASHGA,4,4,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2019,4,180101,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,ESSALUD,II-1,16157,HOSPITAL II MOQUEGUA,19,36,37,79,0,0,51,5,4,2,20,17,4,72,3,6
2019,3,101108,HUANUCO,YAROWILCA,CHORAS,GOBIERNO REGIONAL,I-2,861,CHORAS,7,7,0,1,1,0,2,1,0,0,0,2,0,0,5,1
2019,4,160101,LORETO,MAYNAS,IQUITOS,PRIVADO,I-3,12075,SARLOR,9,8,6,5,0,0,1,1,1,1,1,1,0,4,2,0
2019,4,110211,ICA,CHINCHA,TAMBO DE MORA,ESSALUD,I-2,12023,TAMBO DE MORA,7,9,0,2,0,0,2,1,1,0,0,2,0,3,0,0
2019,4,200701,PIURA,TALARA,PARIÑAS,PRIVADO,II-1,11395,CLINICA VIGO 2000 S. CIVIL DE R.L.,5,10,15,5,0,0,2,1,1,1,0,2,1,4,8,1
2019,1,61007,CAJAMARCA,SAN MARCOS,JOSE SABOGAL,GOBIERNO REGIONAL,I-2,4497,PUESTO DE SALUD MALAT,3,5,0,1,1,0,2,0,0,0,0,2,0,2,0,0
2019,1,61007,CAJAMARCA,SAN MARCOS,JOSE SABOGAL,GOBIERNO REGIONAL,I-1,4495,HUAGAL,2,4,0,0,0,0,0,0,0,0,0,1,0,2,0,0
2019,1,61007,CAJAMARCA,SAN MARCOS,JOSE SABOGAL,GOBIERNO REGIONAL,I-3,4500,JOSE SABOGAL,8,10,0,2,1,0,5,2,1,0,0,3,0,5,1,0
2019,1,61007,CAJAMARCA,SAN MARCOS,JOSE SABOGAL,GOBIERNO REGIONAL,I-2,4498,LICLICONGA,3,6,0,1,1,0,1,0,0,0,0,1,0,1,0,0
2019,1,61007,CAJAMARCA,SAN MARCOS,JOSE SABOGAL,GOBIERNO REGIONAL,I-1,4496,PUESTO DE SALUD TINYAYOC,2,4,0,0,0,0,2,0,0,0,0,3,0,2,0,0
2019,1,61007,CAJAMARCA,SAN MARCOS,JOSE SABOGAL,GOBIERNO REGIONAL,I-1,4499,MATIBAMBA,2,4,0,0,0,0,1,0,0,0,0,1,0,1,0,0
2019,1,120601,JUNIN,SATIPO,SATIPO,SANIDAD DE LA POLICIA NACIONAL DEL PERU,I-2,11485,POSTA MEDICA PNP SATIPO,2,3,0,2,2,0,1,2,2,0,0,0,0,6,0,0
2019,1,80108,CUSCO,CUSCO,WANCHAQ,PRIVADO,II-E,10023,CORNEJO,9,10,6,7,0,0,2,2,0,1,0,0,1,3,0,0
2019,1,30601,APURIMAC,CHINCHEROS,CHINCHEROS,SANIDAD DE LA POLICIA NACIONAL DEL PERU,I-2,11894,PNP SANIDAD CHINCHEROS,4,4,0,2,2,0,1,1,1,0,0,1,0,3,0,0
2019,1,50101,AYACUCHO,HUAMANGA,AYACUCHO,SANIDAD DE LA POLICIA NACIONAL DEL PERU,I-3,11426,POLICLINICO PNP  LUIS LOBATO MEDINA,6,6,0,3,3,0,8,2,0,0,0,0,3,20,7,2
2019,3,40126,AREQUIPA,AREQUIPA,YANAHUARA,PRIVADO,II-E,18935,CEFERGIN,3,3,2,5,0,0,2,0,1,0,0,1,2,0,6,1
2019,4,40126,AREQUIPA,AREQUIPA,YANAHUARA,PRIVADO,II-E,18935,CEFERGIN,3,3,2,5,0,0,2,0,1,0,0,1,2,0,6,1
2019,6,21801,ANCASH,SANTA,CHIMBOTE,SANIDAD DE LA POLICIA NACIONAL DEL PERU,I-3,17690,POLICLINICO PNP CHIMBOTE,6,6,6,5,1,0,5,2,1,0,0,0,5,23,1,1
2019,6,70103,CALLAO,CALLAO,CARMEN DE LA LEGUA-REYNOSO,PRIVADO,I-2,7794,CONSORCIO RED MEDICA OSEA S.A.C.,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2019,6,150130,LIMA,LIMA,SAN BORJA,PRIVADO,II-E,15078,NOVO Q,1,2,2,2,1,0,2,0,0,1,0,0,1,1,0,0
2019,5,180301,MOQUEGUA,ILO,ILO,GOBIERNO REGIONAL,II-1,2818,HOSPITAL ILO,9,11,45,33,0,0,44,3,3,2,3,16,2,73,15,1
2019,6,250101,UCAYALI,CORONEL PORTILLO,CALLERIA,SANIDAD DE LA POLICIA NACIONAL DEL PERU,I-3,10148,POLICLINICO POLICIAL PUCALLPA,7,8,0,2,1,0,6,2,3,1,3,2,3,10,0,1
2019,6,150129,LIMA,LIMA,SAN BARTOLO,SANIDAD DE LA POLICIA NACIONAL DEL PERU,I-2,19390,POSTA MEDICA ETS. PNP. SAN BARTOLO,6,6,0,3,3,0,2,1,3,0,1,0,0,16,0,1
2019,6,200101,PIURA,PIURA,PIURA,PRIVADO,I-3,24833,MEDITRAN PERU EIRL,6,6,0,3,0,0,0,0,1,0,0,0,0,0,1,0
2019,6,110501,ICA,PISCO,PISCO,SANIDAD DE LA POLICIA NACIONAL DEL PERU,I-3,11400,POSTA MEDICA POLICIAL PISCO,5,4,0,2,0,0,5,2,0,0,0,1,4,10,0,1
2019,6,240101,TUMBES,TUMBES,TUMBES,PRIVADO,II-E,7874,CLINICA FEIJOO EIRL,5,10,9,5,0,0,3,0,0,0,0,5,1,6,0,0
2019,6,150130,LIMA,LIMA,SAN BORJA,SANIDAD DE LA POLICIA NACIONAL DEL PERU,I-3,17519,POLICLÍNICO PNP SAN BORJA,8,8,0,4,0,0,6,3,0,0,3,2,4,11,0,0
2019,6,150510,LIMA,CAÑETE,NUEVO IMPERIAL,SANIDAD DE LA POLICIA NACIONAL DEL PERU,I-2,17849,POSTA MEDICA PNP CAÑETE,2,2,0,2,1,0,0,0,0,0,0,0,2,18,0,1
2019,6,150135,LIMA,LIMA,SAN MARTIN DE PORRES,SANIDAD DE LA POLICIA NACIONAL DEL PERU,I-2,12739,UNIDAD EJECUTORA 020: SANIDAD DE LA PNP - POLICLINICO PNP SAN DIEGO,3,3,0,1,0,0,7,2,2,0,0,1,4,19,0,1
2019,6,240101,TUMBES,TUMBES,TUMBES,SANIDAD DE LA POLICIA NACIONAL DEL PERU,I-3,12088,UNIDAD EJECUTORA 020 SANIDAD PNP TUMBES,3,3,3,2,2,0,2,4,3,0,0,0,0,33,0,1
2019,6,150112,LIMA,LIMA,INDEPENDENCIA,SANIDAD DE LA POLICIA NACIONAL DEL PERU,I-2,12741,POSTA MEDICA PNP INDEPENDENCIA,5,5,0,3,2,0,5,2,1,0,1,2,3,12,0,0
2019,4,120706,JUNIN,TARMA,PALCA,GOBIERNO REGIONAL,I-1,573,CHIPOCAYO,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2019,4,120706,JUNIN,TARMA,PALCA,GOBIERNO REGIONAL,I-1,572,LLACSACACA,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019,4,120706,JUNIN,TARMA,PALCA,GOBIERNO REGIONAL,I-3,569,PALCA,10,9,0,2,1,0,3,1,1,1,0,2,1,5,1,0
2019,4,120706,JUNIN,TARMA,PALCA,GOBIERNO REGIONAL,I-1,574,YAROCA,4,4,0,0,0,0,1,0,0,0,0,1,0,1,0,0
2019,4,120706,JUNIN,TARMA,PALCA,GOBIERNO REGIONAL,I-1,575,HUARIPAMPA,6,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2019,4,120706,JUNIN,TARMA,PALCA,GOBIERNO REGIONAL,I-1,576,PATAY,5,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2019,4,120706,JUNIN,TARMA,PALCA,GOBIERNO REGIONAL,I-1,570,ÑAHUIN,5,5,0,0,0,0,1,0,0,0,0,1,0,1,0,0
2019,4,120706,JUNIN,TARMA,PALCA,GOBIERNO REGIONAL,I-1,571,CARPAPATA,3,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0
2019,4,120301,JUNIN,CHANCHAMAYO,CHANCHAMAYO,ESSALUD,II-1,8656,HOSPITAL  SELVA CENTRAL Y ENFERMEDADES TROPICALES LA MERCED,16,21,25,28,0,0,25,3,2,2,9,4,3,36,3,1
2019,4,150131,LIMA,LIMA,SAN ISIDRO,PRIVADO,I-2,8215,MEDICENTRO SAN ISIDRO,48,48,0,45,0,0,21,6,1,2,14,7,2,15,0,0
2019,4,110101,ICA,ICA,ICA,PRIVADO,0,21515,LABORATORIOS GOMEZ SRL,0,0,0,1,0,0,0,0,0,0,1,0,0,3,2,0
2019,4,150122,LIMA,LIMA,MIRAFLORES,PRIVADO,II-E,11750,CLINICA LOS ANDES SAC,19,32,15,65,0,0,13,1,1,1,6,0,1,18,1,1
2019,4,150130,LIMA,LIMA,SAN BORJA,PRIVADO,II-2,9682,CLÍNICA INTERNACIONAL,0,0,103,441,0,1,188,18,5,5,2,10,9,19,0,0
2019,4,40101,AREQUIPA,AREQUIPA,AREQUIPA,PRIVADO,II-E,11995,CLINICA ALMONTE SAC,4,8,2,5,0,0,3,0,0,0,0,0,1,1,5,1
2019,3,61111,CAJAMARCA,SAN MIGUEL,SAN SILVESTRE DE COCHAN,GOBIERNO REGIONAL,I-1,4566,TANTACHUAL BAJO,2,2,0,0,0,0,2,0,0,0,0,1,0,1,0,0
2019,3,61107,CAJAMARCA,SAN MIGUEL,LLAPA,GOBIERNO REGIONAL,I-1,4565,SAN ANTONIO DE OJOS,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2019,3,61107,CAJAMARCA,SAN MIGUEL,LLAPA,GOBIERNO REGIONAL,I-3,4562,LLAPA,6,6,0,2,0,0,3,2,1,0,0,2,0,7,1,0
2019,3,61107,CAJAMARCA,SAN MIGUEL,LLAPA,GOBIERNO REGIONAL,I-1,4564,SABANA,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019,3,61111,CAJAMARCA,SAN MIGUEL,SAN SILVESTRE DE COCHAN,GOBIERNO REGIONAL,I-2,4568,SAN SILVESTRE DE COCHAN,4,4,0,1,0,0,2,0,0,0,0,2,0,2,0,1
2019,3,61111,CAJAMARCA,SAN MIGUEL,SAN SILVESTRE DE COCHAN,GOBIERNO REGIONAL,I-1,4563,EL TAMBO,3,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2019,3,61107,CAJAMARCA,SAN MIGUEL,LLAPA,GOBIERNO REGIONAL,I-1,4567,PAMPA CUYOC,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2019,3,61107,CAJAMARCA,SAN MIGUEL,LLAPA,GOBIERNO REGIONAL,I-1,7083,PABELLON CHICO,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2019,3,40520,AREQUIPA,CAYLLOMA,MAJES,ESSALUD,I-2,13304,CENTRO DE ATENCION PRIMARIA I EL PEDREGAL ESSALUD,8,8,0,5,1,0,5,1,1,1,0,2,1,6,0,1
2019,3,60801,CAJAMARCA,JAEN,JAEN,GOBIERNO REGIONAL,I-1,4214,LAS NARANJAS,1,1,0,0,0,0,1,0,0,0,0,1,0,3,0,0
2019,3,60801,CAJAMARCA,JAEN,JAEN,GOBIERNO REGIONAL,I-1,7024,SAN MARTIN DE PORRES,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2019,3,60801,CAJAMARCA,JAEN,JAEN,GOBIERNO REGIONAL,I-1,4221,VALILLO,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2019,3,40112,AREQUIPA,AREQUIPA,PAUCARPATA,ESSALUD,I-2,12194,CAP III - PAUCARPATA,7,13,0,6,0,0,3,2,2,1,0,1,1,8,0,0
2019,3,150130,LIMA,LIMA,SAN BORJA,MUNICIPALIDAD PROVINCIAL,II-E,23899,ESPECIALIDADES MÉDICAS QUIRÚRGICAS SAN BORJA,12,12,11,12,0,0,10,1,0,0,1,0,1,10,4,1
2019,3,90114,HUANCAVELICA,HUANCAVELICA,PALCA,GOBIERNO REGIONAL,I-3,3902,PALCA,6,7,0,0,1,0,2,1,1,0,0,1,0,4,1,1
2019,3,120808,JUNIN,YAULI,SANTA ROSA DE SACCO,ESSALUD,II-1,8653,HOSPITAL II ALBERTO HURTADO ABADIA - LA OROYA,5,15,45,38,0,0,39,4,1,1,9,5,1,50,1,2
2019,3,21209,ANCASH,HUAYLAS,SANTO TORIBIO,GOBIERNO REGIONAL,I-1,1609,PUESTO DE SALUD ISCAP,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2019,3,21204,ANCASH,HUAYLAS,HUAYLAS,GOBIERNO REGIONAL,I-2,1607,PUESTO DE SALUD HUAYLAS,4,4,0,0,0,0,1,1,0,0,0,1,0,5,1,1
2019,3,80601,CUSCO,CANCHIS,SICUANI,GOBIERNO REGIONAL,I-3,2384,PAMPAPHALLA,11,18,3,4,0,0,10,2,2,3,0,7,2,15,3,1
2019,3,170302,MADRE DE DIOS,TAHUAMANU,IBERIA,GOBIERNO REGIONAL,I-3,2793,SAN MARTIN DE PORRES DE IBERIA,8,13,19,7,1,0,6,2,1,1,1,5,2,31,1,1
2019,3,120428,JUNIN,JAUJA,SAN LORENZO,GOBIERNO REGIONAL,I-1,416,SAN LORENZO,6,6,0,0,0,0,2,1,0,0,0,1,0,1,0,0
2019,3,120408,JUNIN,JAUJA,HUAMALI,GOBIERNO REGIONAL,I-2,415,HUAMALI,5,5,0,0,0,0,2,0,0,0,0,1,0,1,0,0
2019,3,120407,JUNIN,JAUJA,EL MANTARO,GOBIERNO REGIONAL,I-1,414,EL MANTARO,4,4,0,0,0,0,2,0,0,0,0,1,0,2,0,0
2019,3,120403,JUNIN,JAUJA,APATA,GOBIERNO REGIONAL,I-1,413,PAUCAR APATA,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2019,3,120403,JUNIN,JAUJA,APATA,GOBIERNO REGIONAL,I-1,412,CHICCHE,3,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0
2019,3,120403,JUNIN,JAUJA,APATA,GOBIERNO REGIONAL,I-1,411,SAN JOSE DE APATA,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2019,3,120403,JUNIN,JAUJA,APATA,GOBIERNO REGIONAL,I-1,410,NUEVA ESPERANZA,3,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2019,3,120403,JUNIN,JAUJA,APATA,GOBIERNO REGIONAL,I-3,409,APATA,9,9,0,2,1,0,2,2,1,0,0,2,1,3,2,0
2019,2,80601,CUSCO,CANCHIS,SICUANI,SANIDAD DE LA POLICIA NACIONAL DEL PERU,I-2,24663,SANIDAD PNP  SICUANI -  CUSCO,2,2,0,2,2,0,2,0,0,0,0,0,0,5,0,0
2019,2,150101,LIMA,LIMA,LIMA,PRIVADO,II-E,11167,OFTALMOMEDIC,4,8,0,9,0,0,1,0,0,0,0,0,0,5,0,0
2019,1,211101,PUNO,SAN ROMAN,JULIACA,ESSALUD,II-2,9899,HOSPITAL BASE III JULIACA - ESSALUD - RED ASISTENCIAL JULIACA,27,46,83,116,0,17,95,7,3,8,23,14,10,86,3,3
2019,1,150117,LIMA,LIMA,LOS OLIVOS,PRIVADO,II-1,9641,CLINICA MUNDO SALUD SAC,12,17,17,58,0,0,19,2,2,2,8,5,2,23,15,0
2019,1,40126,AREQUIPA,AREQUIPA,YANAHUARA,GOBIERNO REGIONAL,I-3,1233,CENTRO DE SALUD YANAHUARA,15,30,0,6,0,0,6,3,2,2,0,4,1,12,0,0
2019,1,40117,AREQUIPA,AREQUIPA,SACHACA,GOBIERNO REGIONAL,I-2,1283,PUESTO DE SALUD PAMPA DE CAMARONES,5,12,0,3,0,0,2,2,0,0,0,3,0,0,4,0
2019,1,40117,AREQUIPA,AREQUIPA,SACHACA,GOBIERNO REGIONAL,I-2,1282,PUESTO DE SALUD SACHACA,6,10,0,1,0,0,2,2,1,0,0,2,0,0,1,0
2019,1,110401,ICA,PALPA,PALPA,ESSALUD,I-2,10483,PALPA,4,4,0,1,1,0,2,4,1,0,1,1,0,3,0,1
2019,1,150128,LIMA,LIMA,RIMAC,SANIDAD DE LA POLICIA NACIONAL DEL PERU,0,16094,HOSPITAL PNP AUGUSTO B. LEGUIA,35,38,83,3,0,0,2,0,0,0,0,0,0,0,0,2
2019,1,150601,LIMA,HUARAL,HUARAL,GOBIERNO REGIONAL,I-3,5831,BASE HUARAL,0,0,0,5,0,0,7,3,1,1,0,5,0,13,0,0
2019,1,90401,HUANCAVELICA,CASTROVIRREYNA,CASTROVIRREYNA,GOBIERNO REGIONAL,I-4,4002,CASTROVIRREYNA,7,16,9,7,0,0,8,2,1,1,1,7,1,12,0,1
2019,1,60301,CAJAMARCA,CELENDIN,CELENDIN,GOBIERNO REGIONAL,II-1,4466,DE APOYO CELENDIN,3,3,18,12,0,0,16,4,2,1,1,13,2,20,36,2
2019,1,90411,HUANCAVELICA,CASTROVIRREYNA,SANTA ANA,GOBIERNO REGIONAL,I-2,4008,PUESTO DE SALUD SANTA ANA,3,6,0,1,1,0,1,0,0,0,0,0,0,1,0,0
2019,1,90401,HUANCAVELICA,CASTROVIRREYNA,CASTROVIRREYNA,GOBIERNO REGIONAL,I-2,4004,ESMERALDA,3,6,0,1,1,0,1,0,0,0,0,1,0,1,0,0
2019,1,90407,HUANCAVELICA,CASTROVIRREYNA,HUACHOS,GOBIERNO REGIONAL,I-1,4007,SUYTUPAMPA,2,4,0,0,0,0,1,0,0,0,0,1,0,1,0,0
2019,1,120401,JUNIN,JAUJA,JAUJA,ESSALUD,I-3,8667,POLICLINICO JAUJA,8,8,0,3,0,0,4,2,1,0,0,2,1,6,1,0
2019,1,60701,CAJAMARCA,HUALGAYOC,BAMBAMARCA,GOBIERNO REGIONAL,I-1,9870,PUSOC,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
